,champion,counter,be_counter,combine_with
121,leesin,"Ekko,Elise,Rammus,Rek'Sai,Riven,Udyr,Vi,Volibear,Ivern","Aatrox,Gragas,Kha'Zix,Olaf,Sejuani,Qiyana","Elise,Graves,Jarvan IV,Master Yi,Xin Zhao"
122,fiddlesticks,"Bard,Jarvan IV,Jax,Olaf,Rek'Sai,Shaco,Taric,Udyr","Amumu,Riven,Shen,Skarner,TahmKench,Rakan,Kayn","Jarvan IV,LeeSin,Morgana,Soraka,Thresh"
123,fizz,"Karthus,Kassadin,Lissandra,Nocturne,Vladimir,Sylas","Aurelion Sol,Irelia,Ryze,Syndra,Veigar,Viktor,Zoe","Ahri,Kassadin,Lissandra,Yasuo,Zed"
124,seraphine,"Blitzcrank,Leona",,Blitzcrank
125,gnar,"Gangplank,Karma,Wukong,Quinn,Yasuo,Illaoi,Neeko","Fiora,Maokai,Poppy,Ryze,Singed,Sion","Darius,Irelia,Kayle,Riven,Urgot,Vladimir"
126,yasuo,"Annie,Aurelion Sol,Cho'Gath,Fiora,Hecarim,Kennen,Lissandra,Wukong,Nocturne,Rammus,Rengar,Riven,Swain,Yone","Cho'Gath,Diana,Dr. Mundo,Gnar,Heimerdinger,Irelia,Lux,Ryze,Zoe,Yone","Fizz,Kayle,LeBlanc,Lissandra,Riven,Zed,Sylas,Yone"
127,jax,"Gnar,Wukong,Pantheon,Poppy,Rammus,Riven,Shyvana,Udyr","Aatrox,Fiddlesticks,Fiora,Irelia,Mordekaiser,Ryze,Warwick,Yorick,Sylas","Irelia,Jarvan IV,Kayle,LeeSin,Master Yi,Riven,Xin Zhao"
128,annie,"Bard,Karthus,Kassadin,Lux,Nocturne,Sona,Soraka,Veigar,Vel'Koz,Pyke","Akali,Diana,Malphite,Ryze,Syndra,Yasuo,Ziggs,Rakan,Zoe","Ahri,Thresh,Yasuo,Zed"
129,twitch,"Ashe,Draven,Miss Fortune","Kalista,Lucian,Varus,Kai'Sa,Neeko","Ezreal,Vayne,Kai'Sa"
130,katarina,"Aurelion Sol,Ekko,Kassadin,Kennen,Malzahar,Riven,Vladimir,Neeko","Aatrox,Nocturne,Ryze,Swain,Syndra,Veigar","Ahri,Kassadin,Lissandra,Yasuo,Zed"
131,ivern,"Nidalee,Nunu,Rengar,Warwick,Sylas","Hecarim,Riven,Sejuani,Shyvana,Camille","Elise,Jarvan IV,LeeSin"
132,karthus,"Ekko,Hecarim,Katarina,Lux,Nunu,Poppy,Shen,Shyvana,Skarner,Swain,Vladimir,Kled,Camille","Aatrox,Gragas,Heimerdinger,Kennen,Olaf,Ryze,Syndra,Teemo,Neeko","Jarvan IV,Kayle,LeeSin,Vladimir,Yasuo,Zed"
133,vladimir,"Anivia,Annie,Garen,Kayle,Malzahar,Mordekaiser,Nasus,Riven,Yorick,Kled","Akali,Cho'Gath,Fiora,Garen,Irelia,Jayce,LeBlanc,Lissandra,Malphite,Poppy,Ryze,Yasuo","Ahri,Irelia,Kayle,Riven,Yasuo,Zed"
134,sona,"Leona,Shen,Soraka,Taric,Veigar,Zyra","Galio,Gragas,Karma,Shen,TahmKench,Rakan,Pyke","Blitzcrank,Morgana,Soraka,Thresh"
135,garen,"Kayle,Pantheon,Quinn,Teemo,Vayne,Yorick,Camille,Neeko","Cho'Gath,Dr. Mundo,Poppy,Rengar,Ryze,Shen,Singed","Darius,Irelia,Jax,Kayle,Riven,Urgot"
136,zoe,"Karma,Malzahar,Morgana,Nocturne,Zilean,Kled,Taliyah","Akali,Azir,Galio,Swain,Syndra","Ahri,LeBlanc,Lissandra,Yasuo,Zed"
137,brand,"Fizz,Katarina,Veigar,Vel'Koz,Viktor,Xerath,Zilean,Zyra","Azir,Galio,Gragas,Jayce,Ryze,Shen,TahmKench,Braum,Neeko","Ahri,Morgana,Soraka,Thresh,Yasuo,Zed"
138,evelynn,"Nunu,Poppy,Rammus,Rek'Sai,Vi","Aatrox,Gragas,Olaf,Riven","Elise,Jarvan IV,LeeSin,Xin Zhao"
139,pantheon,"Kayle,Malphite,Mordekaiser,Olaf,Poppy,Riven,Rumble,Shyvana,Sion,Ornn,Taliyah","Aatrox,Fiora,Galio,Gangplank,Garen,Gragas,Kha'Zix,LeBlanc,Master Yi,Poppy,Tryndamere,Vayne,Ziggs","Jarvan IV,Kayle,LeeSin,Riven,Teemo,Yasuo"
140,volibear,"Darius,Hecarim,Kayle,Olaf,Pantheon,Sion,Ornn,Kled,Illaoi","Dr. Mundo,Jayce,Nidalee,Poppy,Singed,Viktor,Yasuo,Neeko","Darius,Irelia,Kayle,Kha'Zix,LeeSin,Riven,Vladimir"
141,jhin,"Ashe,Jinx,Sivir,Twitch,Vayne","Ezreal,Kalista,Varus","Ezreal,Lucian,Vayne,Kai'Sa"
142,shen,"Gangplank,Heimerdinger,Kayle,Quinn,Rumble,Sona,Soraka,Taric,Vel'Koz,Volibear,Kled","Cho'Gath,Irelia,Jayce,Karthus,Mordekaiser,Poppy,Renekton,TahmKench,Ornn,Neeko","Darius,Irelia,Jax,Kayle,Riven,Thresh"
143,malphite,"Diana,Kayle,Lux,Maokai,Nasus,Rumble,Sion,Vel'Koz,Neeko,Sylas","Gnar,Irelia,Jayce,Wukong,Pantheon,Ryze,Talon,Tryndamere","Irelia,Jayce,Kayle,Riven,Yasuo,Zed"
144,zilean,"Janna,Soraka,Twisted Fate,Yasuo,Zyra,Taliyah","Akali,Galio,Jayce,Ryze,Syndra,Veigar,Braum,Neeko","Morgana,Thresh,Zed"
145,lillia,"Evelynn,Jax,Kha'Zix,Kindred","Amumu,Gragas,Sejuani,Trundle",
146,senna,"Alistar,Blitzcrank,Lissandra,Morgana,Nautilus,Zyra","Xerath,Braum",
147,gangplank,"Karthus,Kayle,Olaf,Pantheon,Quinn,Vayne","Gnar,Karma,Malzahar,Mordekaiser,Poppy,Ryze,Singed,Ornn","Irelia,Kayle,Riven,Urgot"
148,taliyah,"Aurelion Sol,Fizz,Hecarim,Katarina,Nunu,Poppy,Vel'Koz,Zed","Amumu,Galio,Wukong,Nocturne,Ryze,Viktor,Warwick,Neeko","Ahri,Elise,Jarvan IV,LeeSin,Lissandra,Twisted Fate"
149,jinx,"Twitch,Neeko","Kalista,Tristana,Varus,Xayah","Ezreal,Lucian,Vayne,Kai'Sa"
150,ziggs,"Annie,Katarina,Pantheon,Vel'Koz,Taliyah,Neeko","Azir,Orianna,Swain,Syndra,Veigar","Ahri,LeBlanc,Lissandra,Yasuo,Zed"
151,fiora,"Hecarim,Kayle,Kennen,Wukong,Pantheon,Vayne,Viktor","Aatrox,Cho'Gath,Dr. Mundo,Irelia,Karthus,Mordekaiser,Yasuo,Ornn","Irelia,Kayle,Riven,Urgot"
152,nocturne,"Corki,Nunu,Rammus,Riven,Shaco,Shyvana,Syndra,Vel'Koz,Vi,Taliyah","Aatrox,Gragas,Jayce,LeBlanc,Rengar,Xerath,Zoe","Jarvan IV,LeeSin,Xin Zhao,Yasuo,Zed"
