,champion,counter,be_counter,combine_with
64,syndra,"Fizz,Karthus,Katarina,Kennen,Vel'Koz,Xerath,Zilean","Azir,Karma,Nocturne,Ryze","Ahri,LeBlanc,Orianna,Zed,Zoe"
65,quinn,"Hecarim,Heimerdinger,Lissandra,Malphite,Master Yi,Wukong,Sion,Udyr,Urgot,Kled,Illaoi","Aatrox,Cho'Gath,Darius,Gnar,Maokai,Renekton,Rumble,Singed","Darius,Jayce,Kayle,Riven"
66,twistedfate,"Annie,Morgana,Talon,Vel'Koz,Kled,Taliyah","Akali,Karma,LeBlanc,Ryze,Zoe","Ahri,Fizz,Kassadin,Lissandra,Zed"
67,diana,"Aatrox,Annie,Corki,Ekko,Zilean,Kled,Taliyah","Akali,Karma,LeBlanc,Malphite,Pantheon,Ryze,Syndra","Ahri,LeBlanc,Yasuo,Zed"
68,corki,"Cassiopeia,Jayce,Kassadin,Zed,Zilean,Kled,Taliyah","Akali,Diana,Galio,Kennen,Malphite,Nocturne,Swain","Ahri,Lissandra,Yasuo,Zed,Sylas"
69,zed,"Annie,Aurelion Sol,Kayle,Lissandra,Malphite,Nocturne,Riven,Urgot,Vladimir,Zilean,Illaoi,Sylas","Aatrox,Fiora,Galio,Kassadin,Nasus,Ryze,Syndra,Veigar","Ahri,Fizz,LeBlanc,Lissandra,Yasuo"
70,samira,"Ezreal,Irelia,Lucian,Sett",,Ezreal
71,kennen,"Corki,Fizz,Galio,Gangplank,Jayce,Karthus,Kayle,Yorick","Aatrox,Fiora,Irelia,Ryze,Singed,Syndra,Viktor,Xerath,Yasuo","Darius,Kayle,Urgot,Vladimir,Yasuo,Zed"
72,ezreal,"Ashe,Jinx,Sivir,Twitch,Vayne","Kalista,Lucian,Varus","Caitlyn,Lucian,Vayne,Kai'Sa"
73,darius,"Heimerdinger,Jayce,Karthus,Kayle,Kennen,Quinn,Renekton,Ryze,Teemo,Vayne,Yorick,Neeko","Aatrox,Cho'Gath,Fiora,Garen,Rengar,Singed,Volibear","Irelia,Jax,Kayle,Renekton,Riven,Urgot,Vladimir"
74,warwick,"Jax,Nunu,Poppy,Sejuani,Udyr,Taliyah","Aatrox,Kha'Zix,Wukong,Olaf,Rengar,Camille","Evelynn,Jarvan IV,Kha'Zix,LeeSin,Master Yi,Rek'Sai"
75,yuumi,"Fiddlesticks,Lux,Morgana","Malphite,TahmKench,Braum","Morgana,Thresh"
76,bard,"Blitzcrank,Sona,Zilean,Zyra","Alistar,Gragas,Shen,TahmKench,Veigar,Braum","Morgana,Soraka,Thresh"
77,shaco,"Nidalee,Nunu,Rammus,Rek'Sai,Urgot,Warwick,Camille","Aatrox,Elise,Fiddlesticks,Gragas,Nocturne,Zac","Elise,Graves,LeeSin,Xin Zhao"
78,ekko,"Akali,Anivia,Annie,Fiora,Jax,Kassadin,Lissandra,Morgana,Olaf,Poppy,Riven,Shaco,Singed,Zac,Kled,Neeko,Sylas","Diana,Gangplank,Irelia,Jayce,Karthus,Malphite,Orianna,Syndra","Ahri,Kassadin,LeeSin,Yasuo,Zed"
79,morgana,"Annie,Karthus,Sona,Soraka,Xerath,Zyra","Alistar,Galio,LeBlanc,Malphite,Ryze,Shen,Rakan,Braum","Ahri,Lulu,Lux,Nami,Soraka,Thresh,Zed"
80,singed,"Gangplank,Hecarim,Kayle,Kennen,Rumble,Teemo,Viktor,Volibear","Aatrox,Dr. Mundo,Karma,Malphite,Mordekaiser,Tryndamere","Irelia,Kayle,Riven,Vladimir"
81,reksai,"Wukong,Nocturne,Twitch,Urgot,Vi,Taliyah","Aatrox,Fiddlesticks,Olaf,Poppy,Rengar,Riven,Shaco,Zac","Elise,Graves,Jarvan IV,Kindred,LeeSin,Xin Zhao"
82,braum,"Bard,Lux,Taric,Vel'Koz,Zilean,Neeko","Galio,Poppy,Shen,TahmKench","Alistar,Morgana,Thresh"
83,akali,"Anivia,Annie,Galio,Hecarim,Karthus,Kayle,Pantheon,Yorick,Neeko,Sylas","Aatrox,Dr. Mundo,Fiora,Irelia,Ryze,Sion,Syndra,Tryndamere","Ahri,Irelia,Kayle,Riven,Vladimir,Yasuo,Zed"
84,tahmkench,"Dr. Mundo,Janna,Jax,Rumble,Sona,Taric,Vayne,Vel'Koz,Xerath,Rakan,Kled","Aatrox,Pantheon,Tryndamere,Veigar,Yasuo,Neeko","Alistar,Darius,Kayle,Leona,Morgana,Thresh"
85,gragas,"Brand,Elise,Hecarim,Rammus,Sona,Udyr,Vel'Koz,Vi,Zyra,Taliyah","Aatrox,Riven,TahmKench,Taric,Neeko","Alistar,Elise,Jarvan IV,LeeSin,Thresh,Xin Zhao"
86,urgot,"Jax,Kayle,Malzahar,Mordekaiser,Wukong,Rammus,Vayne,Ivern","Aatrox,Dr. Mundo,Fiora,Maokai,Olaf,Riven,Ryze,Shaco,Camille","Jarvan IV,Kayle,LeeSin,Riven,Vladimir"
87,veigar,"Fizz,Katarina,Nocturne,Vel'Koz,Xerath,Zed,Ziggs,Zyra","Brand,Galio,Irelia,Ryze,Shen,Braum","Ahri,Morgana,Nami,Thresh,Yasuo,Zed,Sylas"
88,orianna,"Ekko,Vel'Koz,Xerath,Ziggs,Zilean,Kled","Akali,Galio,Irelia,Malphite,Ryze","Ahri,LeBlanc,Yasuo,Zed"
89,lulu,"Ahri,Blitzcrank,Fiddlesticks,Morgana,Nautilus,Sona,Neeko,Sylas","Alistar,Corki,Ekko,Galio,Gragas,Orianna,TahmKench,Rakan","Morgana,Nami,Soraka,Thresh,Yasuo,Zed"
90,jarvaniv,"Master Yi,Urgot,Vi,Taliyah","Aatrox,Fiddlesticks,Gragas,Rengar,Sejuani,Zac,Camille","Elise,Graves,LeeSin,Master Yi,Xin Zhao"
91,skarner,"Fiddlesticks,Wukong,Rek'Sai,Rengar,Riven,Sejuani,Sylas","Amumu,Gragas,Karthus,Riven,Shyvana,Warwick,Camille","Jarvan IV,LeeSin,Master Yi,Xin Zhao"
